Module,Base Endpoint,Main Operations
Employees,/api/employees,"GET, POST, PUT/PATCH, lifecycle status"
Departments,/api/departments,"GET, POST, PUT/PATCH"
Job Roles,/api/job-roles,"GET, POST, PUT/PATCH"
Work Statuses,/api/work-statuses,"GET, POST, PUT/PATCH"
Attendance,/api/attendance,"GET, POST, PUT/PATCH"
Leave Types,/api/leave-types,"GET, POST, PUT/PATCH"
Leave Requests,/api/leave-requests,"GET, POST, PUT/PATCH"
Performance Reviews,/api/performance-reviews,"GET, POST, PUT/PATCH"
PIPs,/api/pips,"GET, POST, PUT/PATCH"
Training Programs,/api/training-programs,"GET, POST, PUT/PATCH"
Employee Training,/api/employee-training,"GET, POST, PUT/PATCH"
Candidates,/api/candidates,"GET, POST, PUT/PATCH"
Job Applications,/api/job-applications,"GET, POST, PUT/PATCH"
Interviews,/api/interviews,"GET, POST, PUT/PATCH"
Job Offers,/api/job-offers,"GET, POST, PUT/PATCH"
Analytics,/api/analytics,"Overview, departments, attendance, leave, performance, training, recruitment"
